id,nombre,marca,categoria,descripcion,sku_caja,precio_caja,cantidad_caja,sku_paquete,precio_paquete,cantidad_paquete,unidad,foto,disponible
64,Fajilla Pegada Cartón Bio (ensamblada) 10/20 oz,Papel Kraft,Empaque Complementario,Fajilla Pegada Cartón Bio (ensamblada) 10/20 oz,013KRAFT,964.71,1000,013KRAFTP,120.00,100,Pzas,fajilla-pegada-carton-bio-ensamblada-1020-oz.jpg,TRUE
65,Popote de papel 21 cm x 0.6 cm estuchado,Papel Kraft,Cubiertos y Accesorios,Popote de papel 21 cm x 0.6 cm estuchado,016.1KRAFT,724.41,2000,016.1KRAFTP,209.09,500,Pzas,popote-de-papel-21-cm-x-06-cm-estuchado.jpg,TRUE
66,Portavaso Pulpa Papel p/4 pzas,Papel Kraft,Vasos,Portavaso Pulpa Papel p/4 pzas,015KRAFT,720.82,200,015KRAFTP,208.06,50,Pzas,portavaso-pulpa-papel-p4-pzas.jpg,TRUE
67,Portavasos P Kraft p/2 pzas,Papel Kraft,Vasos,Portavasos P Kraft p/2 pzas,016.0KRAFT,469.83,100,016.0KRAFTP,237.50,50,Pzas,portavasos-p-kraft-p2-pzas.jpg,TRUE
68,Servilleta de Lujo Cafe 21x9 cm,Papel Kraft,Servilletas,Servilleta de Lujo Cafe 21x9 cm,022.2KRAFT,1002.00,1200,022.2KRAFTP,135.32,100,Pzas,servilleta-de-lujo-cafe-21x9-cm.jpg,TRUE
69,Servilleta P Kraft p/dispensador,Papel Kraft,Servilletas,Servilleta P Kraft p/dispensador,017KRAFT,866.14,6000,017KRAFTP,83.00,500,Pzas,servilleta-p-kraft-pdispensador.jpg,TRUE
70,Servilleta P Kraft Chica 23x23 cm cuadrada,Papel Kraft,Servilletas,Servilleta P Kraft Chica 23x23 cm cuadrada,019.0KRAFT,787.40,4000,019.0KRAFTP,113.64,500,Pzas,servilleta-p-kraft-chica-23x23-cm-cuadrada.jpg,TRUE
71,Servilleta P Kraft Chica 24x24 cm cuadrada,Papel Kraft,Servilletas,Servilleta P Kraft Chica 24x24 cm cuadrada,019.1KRAFT,732.28,5400,019.1KRAFTP,77.32,450,Pzas,servilleta-p-kraft-chica-24x24-cm-cuadrada.jpg,TRUE
72,Servilleta P Kraft Cocktail 12.5x12.5 cm,Papel Kraft,Servilletas,Servilleta P Kraft Cocktail 12.5x12.5 cm,018KRAFT,2440.95,6000,018KRAFTP,117.52,250,Pzas,servilleta-p-kraft-cocktail-125x125-cm.jpg,TRUE
73,Servilleta P Kraft Grande 42x36 cm rectangualr,Papel Kraft,Servilletas,Servilleta P Kraft Grande 42x36 cm rectangualr,021KRAFT,1338.58,3000,021KRAFTP,128.27,250,Pzas,servilleta-p-kraft-grande-42x36-cm-rectangualr.jpg,TRUE
74,Servilleta P Kraft Mediana 30x30 cm cuadrada,Papel Kraft,Servilletas,Servilleta P Kraft Mediana 30x30 cm cuadrada,020KRAFT,913.39,3000,020KRAFTP,176.11,500,Pzas,servilleta-p-kraft-mediana-30x30-cm-cuadrada.jpg,TRUE
75,Servilleta Papel Negra Tacto Lino 33x33 cm,Papel Kraft,Servilletas,Servilleta Papel Negra Tacto Lino 33x33 cm,022.1KRAFT,4962.39,600,022.1KRAFTP,849.12,100,Pzas,servilleta-papel-negra-tacto-lino-33x33-cm.jpg,TRUE
76,Servilleta Papel Negra Tacto Lino 43x30 cm,Papel Kraft,Servilletas,Servilleta Papel Negra Tacto Lino 43x30 cm,022.0KRAFT,5775.90,600,022.0KRAFTP,988.32,100,Pzas,servilleta-papel-negra-tacto-lino-43x30-cm.jpg,TRUE
77,Bolsa 1/2 papel Antigrasa Blanco 7.5X16X4,Papel Kraft,General,Bolsa 1/2 papel Antigrasa Blanco 7.5X16X4,091KRAFT,357.82,500,091KRAFTP,84.57,100,Pzas,bolsa-12-papel-antigrasa-blanco-75x16x4.jpg,TRUE
78,Bolsa 1/4 papel Antigrasa Blanco 6.30x14x3 cm,Papel Kraft,General,Bolsa 1/4 papel Antigrasa Blanco 6.30x14x3 cm,090KRAFT,270.05,500,090KRAFTP,63.83,100,Pzas,bolsa-14-papel-antigrasa-blanco-630x14x3-cm.jpg,TRUE
79,Bolsa c/asa Macrame Bond Parada Mini (blanca) 14.5x11x8 cm.,Papel Kraft,Bolsas,Bolsa c/asa Macrame Bond Parada Mini (blanca) 14.5x11x8 cm.,080KRAFT,943.13,100,080KRAFTP,544.44,50,pzas,bolsa-casa-macrame-bond-parada-mini-blanca-145x11x8-cm.jpg,TRUE
80,Bolsa c/asa Macrame Bond Parada CH Kraft 16x21x9 cm.,Papel Kraft,Bolsas,Bolsa c/asa Macrame Bond Parada CH Kraft 16x21x9 cm.,081KRAFT,1015.31,100,081KRAFTP,586.11,50,pzas,bolsa-casa-macrame-bond-parada-ch-kraft-16x21x9-cm.jpg,TRUE
81,Bolsa c/asa Macrame Kraft Cuadrada Amplia CH 19x19x14 cm.,Papel Kraft,Bolsas,Bolsa c/asa Macrame Kraft Cuadrada Amplia CH 19x19x14 cm.,064KRAFT,863.24,100,064KRAFTP,456.80,50,pzas,bolsa-casa-macrame-kraft-cuadrada-amplia-ch-19x19x14-cm.jpg,TRUE
82,Bolsa c/asa Macrame Kraft Cuadrada Amplia G 30x30x21 cm.,Papel Kraft,Bolsas,Bolsa c/asa Macrame Kraft Cuadrada Amplia G 30x30x21 cm.,066KRAFT,1735.94,100,066KRAFTP,1002.11,50,pzas,bolsa-casa-macrame-kraft-cuadrada-amplia-g-30x30x21-cm.jpg,TRUE
