SKU,Descripción,Precio
010NC,Bolsa de Poliseda lisa 15x25 cm ROLLO 1 KG. PS*10,220.47
011NC,Bolsa de rollo Poliseda lisa 18x26 cm ROLLO 1 KG. PS*10,220.47
012NC,Bolsa de rollo Poliseda lisa 20x30 cm ROLLO 1 KG. PS*10,220.47
013NC,Bolsa de rollo Poliseda lisa 25x40 cm ROLLO 1 KG. PS*10,220.47
014NC,Bolsa de rollo Poliseda lisa 30x40 cm ROLLO 1 KG. PS*10,220.47
015NC,Bolsa de rollo Poliseda lisa 35x45 cm ROLLO 1 KG. PS*10,220.47
016NC,Bolsa de rollo Poliseda lisa 40x60 cm ROLLO 1 KG. PS*10,220.47
001NC,"Contenedor 3 oz térmico blanco papel (Convencional no compostable) CAJA 1,000 Pzas. NC P*11",0.00
001NCP,Contenedor 3 oz térmico blanco papel (Convencional no compostable) PQTE 50 pzas. NC P*11,0.00
002NC,"Contenedor 4 oz térmico blanco papel (Convencional no compostable) CAJA 1,000 Pzas. NC P*11",1841.39
002NCP,Contenedor 4 oz térmico blanco papel (Convencional no compostable) PQTE 50 pzas. NC P*11,110.31
003NC,"Contenedor 5 oz térmico blanco papel (Convencional no compostable) CAJA 1,000 Pzas. NC P*11",2215.75
003NCP,Contenedor 5 oz térmico blanco papel (Convencional no compostable) PQTE 50 Pzas. NC P*11,127.91
004NC,"Contenedor 6 oz térmico blanco papel (Convencional no compostable) CAJA 1,000 Pzas. NC P*11",2124.63
004NCP,Contenedor 6 oz térmico blanco papel (Convencional no compostable) PQTE 50 Pzas. NC P*11,126.15
017NC,Tapa contenedor 16/24 oz transparente Paja Trigo (Convencional no compostable) CAJA 250 Pzas. NC*1,1362.34
019NC,Tapa contenedor 26/35 oz transparente Bambú (Convencional no compostable) CAJA 300 Pzas. NC*2,548.03
019NCP,Tapa contenedor 26/35 oz transparente Bambú (Convencional no compostable) PQTE 50 Pzas. NC*2,101.24
018NC,Tapa contenedor 32/48 oz transparente Paja Trigo (Convencional no compostable) CAJA 250 Pzas. NC*1,1597.40
